Date,Adj Close,Ticker
2023-09-08,176.88,AAPL
2023-09-07,176.27,AAPL
2023-09-06,181.58,AAPL
2023-09-05,188.32,AAPL
2023-09-01,188.08,AAPL
2023-08-31,186.5,AAPL
2023-08-30,186.28,AAPL
2023-08-29,182.78,AAPL
2023-08-28,178.88,AAPL
2023-08-25,177.31,AAPL
2023-08-24,175.1,AAPL
2023-08-23,179.8,AAPL
2023-08-22,175.94,AAPL
2023-08-21,174.56,AAPL
2023-08-18,173.22,AAPL
2023-08-17,172.73,AAPL
2023-08-16,175.29,AAPL
2023-08-15,176.16,AAPL
2023-08-14,178.15,AAPL
2023-08-11,176.5,AAPL
2023-08-10,176.44,AAPL
2023-08-09,176.65,AAPL
2023-08-08,178.25,AAPL
2023-08-07,177.31,AAPL
2023-08-04,180.42,AAPL
2023-08-03,189.52,AAPL
2023-08-02,190.92,AAPL
2023-08-01,193.92,AAPL
2023-07-31,194.76,AAPL
2023-07-28,194.14,AAPL
2023-07-27,191.56,AAPL
2023-07-26,192.82,AAPL
2023-07-25,191.95,AAPL
2023-07-24,191.09,AAPL
2023-07-21,190.29,AAPL
2023-07-20,191.47,AAPL
2023-07-19,193.42,AAPL
2023-07-18,192.06,AAPL
2023-07-17,192.32,AAPL
2023-07-14,189.05,AAPL
2023-07-13,188.9,AAPL
2023-07-12,188.14,AAPL
2023-07-11,186.46,AAPL
2023-07-10,186.99,AAPL
2023-07-07,189.04,AAPL
2023-07-06,190.16,AAPL
2023-07-05,189.68,AAPL
2023-07-03,190.8,AAPL
2023-06-30,192.3,AAPL
2023-06-29,187.96,AAPL
2023-06-28,187.62,AAPL
2023-06-27,186.44,AAPL
2023-06-26,183.67,AAPL
2023-06-23,185.07,AAPL
2023-06-22,185.39,AAPL
2023-06-21,182.38,AAPL
2023-06-20,183.42,AAPL
2023-06-16,183.33,AAPL
2023-06-15,184.41,AAPL
2023-06-14,182.37,AAPL
2023-06-13,181.73,AAPL
2023-06-12,182.21,AAPL
2023-06-09,179.4,AAPL
2023-06-08,179.01,AAPL
2023-06-07,176.29,AAPL
2023-06-06,177.67,AAPL
2023-06-05,178.03,AAPL
2023-06-02,179.39,AAPL
2023-06-01,178.54,AAPL
2023-05-31,175.72,AAPL
2023-05-30,175.77,AAPL
2023-05-26,173.92,AAPL
2023-05-25,171.5,AAPL
2023-05-24,170.36,AAPL
2023-05-23,170.08,AAPL
2023-05-22,172.7,AAPL
2023-05-19,173.65,AAPL
2023-05-18,173.54,AAPL
2023-05-17,171.2,AAPL
2023-05-16,170.59,AAPL
2023-05-15,170.59,AAPL
2023-05-12,171.08,AAPL
2023-05-11,172.02,AAPL
2023-05-10,171.83,AAPL
2023-05-09,170.06,AAPL
2023-05-08,171.77,AAPL
2023-05-05,171.84,AAPL
2023-05-04,164.13,AAPL
2023-05-03,165.78,AAPL
2023-05-02,166.86,AAPL
2023-05-01,167.9,AAPL
2023-04-28,167.99,AAPL
2023-04-27,166.73,AAPL
2023-04-26,162.13,AAPL
2023-04-25,162.13,AAPL
2023-04-24,163.68,AAPL
2023-04-21,163.37,AAPL
2023-04-20,164.99,AAPL
2023-04-19,165.96,AAPL
2023-04-18,164.81,AAPL
2023-04-17,163.58,AAPL
2023-04-14,163.56,AAPL
2023-04-13,163.91,AAPL
2023-04-12,158.5,AAPL
2023-04-11,159.19,AAPL
2023-04-10,160.41,AAPL
2023-04-06,163.02,AAPL
2023-04-05,162.13,AAPL
2023-04-04,163.98,AAPL
2023-04-03,164.51,AAPL
2023-03-31,163.25,AAPL
